Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Zipcode,Poverty Rate,Unemployment Rate
ZCTA5 00934,-666666666.0,25.0,-666666666.0,,0.0,0.0,00934,0.0,0.0
ZCTA5 00936,-666666666.0,749.0,72.1,8875.0,0.0,0.0,00936,0.0,0.0
ZCTA5 00949,26032.0,76058.0,39.0,12924.0,25943.0,5956.0,00949,34.10949538510084,7.830865918115123
ZCTA5 00950,-666666666.0,0.0,-666666666.0,-666666666.0,0.0,0.0,00950,,
ZCTA5 00951,-666666666.0,0.0,-666666666.0,-666666666.0,0.0,0.0,00951,,
ZCTA5 00952,15434.0,8467.0,42.3,8998.0,3983.0,732.0,00952,47.041455060824376,8.645328924058107
ZCTA5 00953,29837.0,72608.0,37.1,14360.0,21593.0,4192.0,00953,29.73914720141031,5.773468488320846
ZCTA5 00956,23322.0,68452.0,40.4,12226.0,25233.0,5130.0,00956,36.862326885993106,7.494302576988255
ZCTA5 00957,24438.0,40738.0,40.2,13000.0,15055.0,2498.0,00957,36.95566792675144,6.131867052874466
ZCTA5 00959,29737.0,47849.0,40.2,15979.0,14152.0,2574.0,00959,29.57637568183243,5.379422767455956
ZCTA5 00960,-666666666.0,2454.0,33.2,3972.0,19.0,0.0,00960,0.7742461287693562,0.0
ZCTA5 00961,28455.0,31017.0,42.3,16714.0,9469.0,1414.0,00961,30.528419898765193,4.558790340780862
ZCTA5 00962,16135.0,19864.0,37.1,9871.0,10780.0,2482.0,00962,54.269029399919454,12.494965767217076
ZCTA5 00965,15369.0,7659.0,41.7,11228.0,4083.0,578.0,00965,53.309831570701135,7.546677111894503
ZCTA5 00966,51318.0,16169.0,45.3,36677.0,2938.0,637.0,00966,18.170573319314737,3.939637578081514
ZCTA5 00968,45811.0,3368.0,58.1,43889.0,498.0,128.0,00968,14.78622327790974,3.8004750593824226
ZCTA5 00969,51604.0,43216.0,40.4,27897.0,7746.0,1530.0,00969,17.923917067752683,3.5403554239170676
ZCTA5 00971,20604.0,27449.0,43.6,14718.0,10330.0,1718.0,00971,37.63342926882582,6.258880104921855
ZCTA5 00976,30801.0,60134.0,39.4,16208.0,18527.0,1916.0,00976,30.80952539328832,3.186217447700136
