Zipcode,Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Poverty Rate,Unemployment Rate,Lat,Lng
00778,ZCTA5 00778,32708.0,46852.0,38.3,16622.0,14361.0,3022.0,30.65183983607957,6.450098181507727,18.2537692,-65.97608939999999
00780,ZCTA5 00780,21834.0,11679.0,38.0,14409.0,4591.0,536.0,39.30987242058396,4.589434026885863,18.0399706,-66.54872499999999
00782,ZCTA5 00782,13073.0,18196.0,37.7,6996.0,10576.0,1513.0,58.12266432182897,8.315014288854693,18.2242263,-66.2605176
00783,ZCTA5 00783,14476.0,34240.0,37.9,7823.0,19045.0,3253.0,55.62207943925234,9.500584112149532,18.3193182,-66.3081217
00784,ZCTA5 00784,15653.0,41417.0,37.6,9317.0,21515.0,791.0,51.94726803003598,1.909843783953449,17.979522,-66.1103164
00786,ZCTA5 00786,-666666666.0,249.0,65.8,13990.0,51.0,0.0,20.481927710843372,0.0,18.1561752,-66.2332309
00791,ZCTA5 00791,18595.0,49551.0,41.3,11926.0,22625.0,1840.0,45.660027042844746,3.7133458456943353,18.132987,-65.8203943
00794,ZCTA5 00794,15667.0,29296.0,35.4,7702.0,17589.0,797.0,60.03891316220644,2.7205079191698527,18.2014759,-66.3096094
00795,ZCTA5 00795,20430.0,45573.0,37.8,10164.0,21540.0,4041.0,47.26482785860049,8.867092357316832,18.0424342,-66.48667329999999
00901,ZCTA5 00901,16929.0,6540.0,41.3,27466.0,2754.0,278.0,42.11009174311926,4.250764525993884,18.4659822,-66.10434719999999
00906,ZCTA5 00906,101346.0,91.0,41.2,70076.0,14.0,0.0,15.384615384615385,0.0,18.4673255,-66.10623249999999
00907,ZCTA5 00907,32601.0,16819.0,48.6,38603.0,4426.0,738.0,26.315476544384328,4.387894642963316,18.4530752,-66.0783046
00909,ZCTA5 00909,17959.0,5430.0,38.7,15141.0,2598.0,375.0,47.84530386740332,6.906077348066298,18.4418194,-66.07062549999999
00911,ZCTA5 00911,30978.0,7617.0,47.8,28595.0,2230.0,438.0,29.276618091111985,5.75029539188657,18.4509644,-66.0551807
00912,ZCTA5 00912,21744.0,5920.0,42.4,15777.0,2455.0,545.0,41.4695945945946,9.20608108108108,18.446162,-66.059736
00913,ZCTA5 00913,5902.0,8495.0,26.2,7158.0,6933.0,1319.0,81.61271336080047,15.526780459093585,18.4501262,-66.0426361
00915,ZCTA5 00915,14048.0,27534.0,38.9,9136.0,16416.0,3708.0,59.620832425365,13.466986271518849,18.437837,-66.0493273
00917,ZCTA5 00917,15508.0,18316.0,45.9,13829.0,9395.0,1128.0,51.29395064424547,6.158549901725268,18.4211874,-66.0493273
